transaction_id,user_id,Amount,location,transaction_status,hour,is_new_payee,payee_type,merchant_category,payment_retries,device,payer_type,isFraud,usual_hour,usual_location,usual_device,avg_amount
189028176251,924197,10754,Hyderabad,FAILED,17,0,p2m,education,3,android,institution,0,11,Hyderabad,android,48465.0
658520389450,924197,86176,Hyderabad,FAILED,11,1,p2m,shopping,2,ios,institution,0,11,Hyderabad,android,48465.0
968313311834,562958,958,Mumbai,SUCCESS,20,1,p2m,food,0,ios,merchant,0,20,Mumbai,ios,958.0
172423518699,381632,72191,New York,SUCCESS,13,0,p2p,education,0,android,bank,0,13,New York,android,48057.0
355511172600,381632,1436,New York,SUCCESS,16,0,p2m,education,0,web,bank,0,13,New York,android,48057.0
121028660548,381632,70544,New York,FAILED,15,0,p2m,education,3,ios,bank,0,13,New York,android,48057.0
316864318546,363028,2637,Mumbai,FAILED,9,0,upi_number,entertainment,3,android,merchant,0,9,Mumbai,android,2779.0
540600247128,363028,2921,Paris,SUCCESS,14,0,bank,food,0,web,merchant,0,9,Mumbai,android,2779.0
626714038514,176588,33602,Paris,SUCCESS,20,0,p2m,transport,1,ios,upi_account,0,13,Paris,ios,36300.4
624007105332,176588,71071,Paris,SUCCESS,22,0,upi_number,education,0,android,upi_account,0,13,Paris,ios,36300.4
478931159615,176588,58119,Paris,FAILED,14,0,upi_number,shopping,2,web,upi_account,0,13,Paris,ios,36300.4
455335941153,176588,17427,Paris,SUCCESS,16,0,p2m,entertainment,4,ios,upi_account,0,13,Paris,ios,36300.4
128035018788,176588,1283,Paris,SUCCESS,13,0,bank,transport,1,web,upi_account,0,13,Paris,ios,36300.4
431594010193,360610,1324,Chennai,FAILED,11,0,upi_number,food,0,android,bank,0,10,Chennai,web,27521.8
316817673794,360610,617,Chennai,SUCCESS,10,1,p2p,transport,1,web,bank,0,10,Chennai,web,27521.8
885441453717,360610,75225,Chennai,SUCCESS,15,0,p2p,medical,5,web,bank,0,10,Chennai,web,27521.8
663441663738,360610,1635,Chennai,SUCCESS,14,1,p2p,food,0,web,bank,0,10,Chennai,web,27521.8
394800389907,360610,58808,Chennai,SUCCESS,10,0,upi_number,transport,1,web,bank,0,10,Chennai,web,27521.8
228652493678,313802,82144,Hyderabad,SUCCESS,17,0,p2m,shopping,0,web,upi_account,0,8,Hyderabad,android,26806.0
763452572366,313802,724,Lucknow,FAILED,18,0,p2p,food,1,android,upi_account,0,8,Hyderabad,android,26806.0
631968727873,313802,2017,Hyderabad,SUCCESS,9,1,p2p,entertainment,1,web,upi_account,0,8,Hyderabad,android,26806.0
700727653092,313802,165,Hyderabad,SUCCESS,8,0,p2p,shopping,0,ios,upi_account,0,8,Hyderabad,android,26806.0
838957829468,313802,48980,Lucknow,SUCCESS,10,1,p2m,medical,1,android,upi_account,0,8,Hyderabad,android,26806.0
287462079411,938521,2951,Lucknow,SUCCESS,23,1,p2m,entertainment,1,android,upi_account,0,12,Lucknow,android,45933.75
912009814315,938521,81493,Lucknow,SUCCESS,15,0,p2p,medical,1,web,upi_account,0,12,Lucknow,android,45933.75
888776516901,938521,97720,Lucknow,SUCCESS,20,0,p2p,shopping,0,web,upi_account,0,12,Lucknow,android,45933.75
944195683834,938521,1571,Lucknow,FAILED,12,0,bank,entertainment,1,android,upi_account,0,12,Lucknow,android,45933.75
759416236527,328815,72185,Berlin,FAILED,12,0,bank,transport,2,web,upi_account,0,12,Berlin,web,72185.0
821835277907,674253,42998,Toronto,FAILED,14,1,p2m,shopping,3,android,bank,0,14,Toronto,android,42998.0
197623099759,547239,1852,Lucknow,FAILED,22,0,p2m,entertainment,1,web,merchant,0,13,Lucknow,ios,1820.4
226650792203,547239,633,Lucknow,SUCCESS,14,0,p2p,medical,5,web,merchant,0,13,Lucknow,ios,1820.4
632127743381,547239,2823,Lucknow,SUCCESS,18,0,upi_number,food,0,android,merchant,0,13,Lucknow,ios,1820.4
327047219824,547239,2710,Lucknow,SUCCESS,19,0,p2p,food,0,ios,merchant,0,13,Lucknow,ios,1820.4
466542727998,547239,1084,Lucknow,SUCCESS,13,0,bank,shopping,5,ios,merchant,0,13,Lucknow,ios,1820.4
170460009239,492904,1805,Hyderabad,SUCCESS,10,0,bank,shopping,0,android,upi_account,0,14,Hyderabad,android,20006.6
855867662641,492904,1019,Hyderabad,SUCCESS,14,1,bank,shopping,0,ios,upi_account,0,14,Hyderabad,android,20006.6
978408801448,492904,1182,Hyderabad,SUCCESS,13,0,bank,education,1,android,upi_account,0,14,Hyderabad,android,20006.6
600076765780,492904,68987,Hyderabad,FAILED,19,1,upi_number,medical,3,ios,upi_account,0,14,Hyderabad,android,20006.6
845804279669,492904,27040,Hyderabad,SUCCESS,14,0,p2m,education,1,web,upi_account,0,14,Hyderabad,android,20006.6
277416608951,140937,85085,Sydney,FAILED,22,1,p2p,shopping,3,ios,upi_account,0,9,New York,ios,51170.25
887209288655,140937,76012,Sydney,SUCCESS,9,0,bank,shopping,1,ios,upi_account,0,9,New York,ios,51170.25
946787709999,140937,817,New York,SUCCESS,15,0,p2m,education,1,web,upi_account,0,9,New York,ios,51170.25
577879047978,140937,42767,New York,SUCCESS,14,0,p2m,education,0,web,upi_account,0,9,New York,ios,51170.25
113915944421,512461,2315,Lucknow,SUCCESS,17,0,p2m,entertainment,0,ios,institution,0,17,Lucknow,web,34829.666666666664
367200166208,512461,37014,Lucknow,SUCCESS,17,1,p2m,education,1,web,institution,0,17,Lucknow,web,34829.666666666664
945665931636,512461,65160,Lucknow,SUCCESS,15,1,p2p,education,0,web,institution,0,17,Lucknow,web,34829.666666666664
830194971439,307937,2758,Jaipur,FAILED,11,1,p2m,food,2,ios,bank,0,10,Jaipur,ios,40733.0
391503623475,307937,78708,Jaipur,SUCCESS,10,0,bank,medical,0,web,bank,0,10,Jaipur,ios,40733.0
879033144397,187821,16158,Mumbai,FAILED,13,0,upi_number,food,0,web,upi_account,0,13,Mumbai,web,16158.0
798592896755,736402,2738,Tokyo,SUCCESS,20,0,p2m,entertainment,1,ios,merchant,0,8,Tokyo,android,39024.75
400742918882,736402,773,Toronto,SUCCESS,13,0,p2m,medical,0,android,merchant,0,8,Tokyo,android,39024.75
379053277905,736402,66859,Toronto,SUCCESS,8,0,p2m,shopping,0,ios,merchant,0,8,Tokyo,android,39024.75
623854571682,736402,85729,Tokyo,SUCCESS,19,0,p2p,education,0,android,merchant,0,8,Tokyo,android,39024.75
